Sample	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# total reads	# left	# right	Mapped (%)	Properly paired (%)	Avg. coverage depth	Coverage >= 1x (%)	# N's per 100 kbp	# predicted rRNA genes	# predicted rRNA genes_partial
canu_assembly	36.0	36.0	29.0	28.0	22.0	17.0	29828639.0	29828639.0	29813736.0	29805233.0	29710861.0	29539812.0	36.0	4875381.0	29828639.0	49.36	3713674.0	1663324.0	3454611.5	4.0	8.0	409991.0	0.0	0.0	117.69	0.0	51.0	100.0	0.0	60.0	1.0
canu_medaka_consensus	36.0	36.0	29.0	28.0	22.0	17.0	29866502.0	29866502.0	29852031.0	29843518.0	29748804.0	29577413.0	36.0	4881813.0	29866502.0	49.38	3718495.0	1665340.0	3459161.0	4.0	8.0	409991.0	0.0	0.0	117.52	0.0	51.0	100.0	0.0	59.0	2.0
flye_assembly	87.0	79.0	54.0	44.0	32.0	23.0	29321964.0	29316128.0	29257160.0	29182681.0	28986504.0	28669237.0	87.0	3007462.0	29321964.0	49.49	2284154.0	666110.0	1838905.0	6.0	16.0	409991.0	0.0	0.0	112.2	0.0	48.0	100.0	0.0	38.0	1.0
flye_medaka_consensus	85.0	79.0	54.0	44.0	32.0	23.0	29331139.0	29326657.0	29269595.0	29195274.0	29000428.0	28684946.0	85.0	3009402.0	29331139.0	49.51	2285325.0	666529.0	1840459.7	6.0	16.0	409991.0	0.0	0.0	112.48	0.0	48.0	99.99	0.0	38.0	0.0
raven_assembly	18.0	18.0	18.0	18.0	17.0	16.0	29481737.0	29481737.0	29481737.0	29481737.0	29467896.0	29433454.0	18.0	4871805.0	29481737.0	49.38	3783467.0	2182466.0	3464883.5	4.0	8.0	409991.0	0.0	0.0	104.6	0.0	46.0	100.0	0.0	35.0	0.0
raven_medaka_consensus	18.0	18.0	18.0	18.0	17.0	16.0	29482805.0	29482805.0	29482805.0	29482805.0	29469019.0	29436547.0	18.0	4874129.0	29482805.0	49.41	3782302.0	2183078.0	3465245.2	4.0	8.0	409991.0	0.0	0.0	106.8	0.0	46.0	100.0	0.0	36.0	0.0
shasta_assembly	350.0	348.0	346.0	327.0	264.0	191.0	28330868.0	28330246.0	28321294.0	28183867.0	27064049.0	24537223.0	349.0	479032.0	28330807.0	49.46	136758.0	38622.0	156752.3	69.0	214.0	409991.0	0.0	0.0	115.0	0.0	50.0	100.0	0.0	27.0	2.0
shasta_medaka_consensus	349.0	348.0	346.0	327.0	263.0	191.0	28257574.0	28257044.0	28249013.0	28114755.0	26976641.0	24483036.0	349.0	478226.0	28257574.0	49.44	136426.0	38464.0	156501.8	69.0	214.0	409991.0	0.0	0.0	115.37	0.0	50.0	100.0	0.0	37.0	0.0
wtdbg2_assembly	55.0	53.0	41.0	30.0	27.0	22.0	28625627.0	28624597.0	28578707.0	28507949.0	28466240.0	28297720.0	55.0	3931605.0	28625627.0	49.59	2043797.0	618645.0	2104176.9	6.0	15.0	409991.0	0.0	0.0	114.68	0.0	49.0	99.86	0.0	36.0	1.0
wtdbg2_medaka_consensus	45.0	44.0	38.0	30.0	27.0	22.0	28632319.0	28632018.0	28612060.0	28557636.0	28516414.0	28347875.0	45.0	3937893.0	28632319.0	49.62	2047660.0	619703.0	2111113.5	6.0	15.0	409991.0	0.0	0.0	114.28	0.0	49.0	99.99	0.0	36.0	1.0
