Sample	supplementary_failed	properly paired_failed	flagstat_total	read1_passed	secondary_failed	with itself and mate mapped_failed	duplicates_failed	duplicates_passed	properly paired_passed	total_passed	with itself and mate mapped_passed	singletons_failed_pct	with mate mapped to a different chr_failed	read2_passed	with mate mapped to a different chr (mapQ >= 5)_failed	mapped_passed	mapped_passed_pct	mapped_failed	properly paired_failed_pct	singletons_failed	singletons_passed_pct	secondary_passed	with mate mapped to a different chr_passed	read2_failed	properly paired_passed_pct	with mate mapped to a different chr (mapQ >= 5)_passed	paired in sequencing_failed	mapped_failed_pct	read1_failed	paired in sequencing_passed	supplementary_passed	singletons_passed	total_failed
canu_assembly.stat	0	0	489033	0	0	0	0	0	0	489033	0	nan	0	0	0	482522	98.67	0	nan	0	nan	52950	0	0	nan	0	0	nan	0	0	26092	0	0
canu_medaka_consensus.stat	0	0	488348	0	0	0	0	0	0	488348	0	nan	0	0	0	481835	98.67	0	nan	0	nan	52100	0	0	nan	0	0	nan	0	0	26257	0	0
flye_assembly.stat	0	0	461781	0	0	0	0	0	0	461781	0	nan	0	0	0	455293	98.6	0	nan	0	nan	15023	0	0	nan	0	0	nan	0	0	36767	0	0
flye_medaka_consensus.stat	0	0	461643	0	0	0	0	0	0	461643	0	nan	0	0	0	455148	98.59	0	nan	0	nan	14493	0	0	nan	0	0	nan	0	0	37159	0	0
raven_assembly.stat	0	0	447357	0	0	0	0	0	0	447357	0	nan	0	0	0	428845	95.86	0	nan	0	nan	9855	0	0	nan	0	0	nan	0	0	27511	0	0
raven_medaka_consensus.stat	0	0	451857	0	0	0	0	0	0	451857	0	nan	0	0	0	437871	96.9	0	nan	0	nan	9618	0	0	nan	0	0	nan	0	0	32248	0	0
shasta_assembly.stat	0	0	497654	0	0	0	0	0	0	497654	0	nan	0	0	0	481852	96.82	0	nan	0	nan	50439	0	0	nan	0	0	nan	0	0	37224	0	0
shasta_medaka_consensus.stat	0	0	502753	0	0	0	0	0	0	502753	0	nan	0	0	0	486976	96.86	0	nan	0	nan	55494	0	0	nan	0	0	nan	0	0	37268	0	0
wtdbg2_assembly.stat	0	0	478475	0	0	0	0	0	0	478475	0	nan	0	0	0	467242	97.65	0	nan	0	nan	20163	0	0	nan	0	0	nan	0	0	48321	0	0
wtdbg2_medaka_consensus.stat	0	0	478759	0	0	0	0	0	0	478759	0	nan	0	0	0	468328	97.82	0	nan	0	nan	18162	0	0	nan	0	0	nan	0	0	50606	0	0
