Module	Section	Sample Name	Source
QUAST	all_sections	shasta_medaka_consensus	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/shasta_medaka/report.tsv
QUAST	all_sections	canu_assembly	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/canu/report.tsv
QUAST	all_sections	raven_assembly	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/raven/report.tsv
QUAST	all_sections	shasta_assembly	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/shasta/report.tsv
QUAST	all_sections	flye_assembly	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/flye/report.tsv
QUAST	all_sections	raven_medaka_consensus	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/raven_medaka/report.tsv
QUAST	all_sections	wtdbg2_medaka_consensus	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/wtdbg2_medaka/report.tsv
QUAST	all_sections	flye_medaka_consensus	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/flye_medaka/report.tsv
QUAST	all_sections	canu_medaka_consensus	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/canu_medaka/report.tsv
QUAST	all_sections	wtdbg2_assembly	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/wtdbg2/report.tsv
BUSCO	all_sections	shasta_medaka_consensus	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/shasta_medaka/busco_stats/short_summary_shasta_medaka_consensus.txt
BUSCO	all_sections	canu_assembly	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/canu/busco_stats/short_summary_canu_assembly.txt
BUSCO	all_sections	raven_assembly	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/raven/busco_stats/short_summary_raven_assembly.txt
BUSCO	all_sections	shasta_assembly	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/shasta/busco_stats/short_summary_shasta_assembly.txt
BUSCO	all_sections	flye_assembly	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/flye/busco_stats/short_summary_flye_assembly.txt
BUSCO	all_sections	raven_medaka_consensus	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/raven_medaka/busco_stats/short_summary_raven_medaka_consensus.txt
BUSCO	all_sections	wtdbg2_medaka_consensus	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/wtdbg2_medaka/busco_stats/short_summary_wtdbg2_medaka_consensus.txt
BUSCO	all_sections	flye_medaka_consensus	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/flye_medaka/busco_stats/short_summary_flye_medaka_consensus.txt
BUSCO	all_sections	canu_medaka_consensus	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/canu_medaka/busco_stats/short_summary_canu_medaka_consensus.txt
BUSCO	all_sections	wtdbg2_assembly	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/wtdbg2/busco_stats/short_summary_wtdbg2_assembly.txt
Samtools	flagstat	shasta_medaka_consensus.stat	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/shasta_medaka/reads_stats/shasta_medaka_consensus.stat
Samtools	flagstat	canu_assembly.stat	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/canu/reads_stats/canu_assembly.stat
Samtools	flagstat	raven_assembly.stat	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/raven/reads_stats/raven_assembly.stat
Samtools	flagstat	shasta_assembly.stat	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/shasta/reads_stats/shasta_assembly.stat
Samtools	flagstat	flye_assembly.stat	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/flye/reads_stats/flye_assembly.stat
Samtools	flagstat	raven_medaka_consensus.stat	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/raven_medaka/reads_stats/raven_medaka_consensus.stat
Samtools	flagstat	wtdbg2_medaka_consensus.stat	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/wtdbg2_medaka/reads_stats/wtdbg2_medaka_consensus.stat
Samtools	flagstat	flye_medaka_consensus.stat	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/flye_medaka/reads_stats/flye_medaka_consensus.stat
Samtools	flagstat	canu_medaka_consensus.stat	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/canu_medaka/reads_stats/canu_medaka_consensus.stat
Samtools	flagstat	wtdbg2_assembly.stat	/array1/falmeida/NF_WORK/1f/19c41f8eedd40cd75a96147efd678d/wtdbg2/reads_stats/wtdbg2_assembly.stat
