# BUSCO version is: 5.6.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2024-01-08, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Fragmented	contig_90	1748717	1739613	-	1214.8	1380	https://v10-1.orthodb.org/?query=494at4751	Midasin
771at4751	Complete	contig_2	597147	609039	+	3197.5	2456	https://v10-1.orthodb.org/?query=771at4751	PIK-related kinase
1866at4751	Complete	contig_12	112372	118967	+	3271.8	1784	https://v10-1.orthodb.org/?query=1866at4751	Glutamate synthase, alpha subunit, C-terminal
3534at4751	Complete	contig_12	517772	511951	-	1864.2	1338	https://v10-1.orthodb.org/?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	contig_6	588929	581029	-	1761.0	1756	https://v10-1.orthodb.org/?query=4409at4751	Armadillo-type fold
4466at4751	Complete	contig_90	2827810	2817717	-	1915.8	1592	https://v10-1.orthodb.org/?query=4466at4751	Translational activator Gcn1
4523at4751	Complete	contig_1	781003	771461	-	3208.4	1886	https://v10-1.orthodb.org/?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	contig_86	2189703	2184618	-	875.5	934	https://v10-1.orthodb.org/?query=5995at4751	Protein kinase domain
6186at4751	Complete	contig_6	2007598	2013206	+	751.6	1056	https://v10-1.orthodb.org/?query=6186at4751	U3 small nucleolar RNA-associated protein 10
6272at4751	Complete	contig_1	636221	631597	-	1014.6	750	https://v10-1.orthodb.org/?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	contig_86	1252650	1249909	-	242.5	723	https://v10-1.orthodb.org/?query=6377at4751	Polyketide synthase, phosphopantetheine-binding domain
6592at4751	Complete	contig_86	781006	775970	-	848.2	841	https://v10-1.orthodb.org/?query=6592at4751	Sec7 domain
6812at4751	Complete	contig_81	33667	24637	-	2151.8	1458	https://v10-1.orthodb.org/?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	contig_81	247927	235645	-	1362.3	1331	https://v10-1.orthodb.org/?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	contig_93	226600	220372	-	1011.8	876	https://v10-1.orthodb.org/?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	contig_10	626587	622403	-	783.3	689	https://v10-1.orthodb.org/?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	contig_85	531247	537107	+	2390.0	1402	https://v10-1.orthodb.org/?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	contig_90	766373	761735	-	1607.6	1031	https://v10-1.orthodb.org/?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Fragmented	contig_90	2200409	2196282	-	608.8	642	https://v10-1.orthodb.org/?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	contig_1	1367701	1373617	+	1241.8	1045	https://v10-1.orthodb.org/?query=11140at4751	Dopey, N-terminal
11636at4751	Complete	contig_93	1031702	1027301	-	772.0	899	https://v10-1.orthodb.org/?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	contig_6	770743	776587	+	1211.2	1013	https://v10-1.orthodb.org/?query=11879at4751	HECT domain
12258at4751	Complete	contig_2	642006	646062	+	1539.6	992	https://v10-1.orthodb.org/?query=12258at4751	PurM-like, C-terminal domain
12812at4751	Complete	contig_10	902719	898336	-	373.7	450	https://v10-1.orthodb.org/?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	contig_91	631019	624730	-	1508.3	1142	https://v10-1.orthodb.org/?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	contig_91	706159	710121	+	755.0	820	https://v10-1.orthodb.org/?query=13224at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
13605at4751	Complete	contig_37	681485	675906	-	1294.9	1191	https://v10-1.orthodb.org/?query=13605at4751	Armadillo-type fold
14295at4751	Complete	contig_90	2302916	2295983	-	1445.5	800	https://v10-1.orthodb.org/?query=14295at4751	Carbamoyl-phosphate synthetase, large subunit oligomerisation domain
14441at4751	Complete	contig_5	1460464	1465712	+	1782.2	1266	https://v10-1.orthodb.org/?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	contig_5	20682	24513	+	1194.0	877	https://v10-1.orthodb.org/?query=14523at4751	Exportin-1, C-terminal
14793at4751	Complete	contig_93	98514	94570	-	636.3	757	https://v10-1.orthodb.org/?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	contig_90	760851	754702	-	860.1	681	https://v10-1.orthodb.org/?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	contig_86	582592	579109	-	900.0	578	https://v10-1.orthodb.org/?query=17174at4751	DNA-directed DNA polymerase, family A, conserved site
18809at4751	Complete	contig_5	310824	307372	-	490.0	534	https://v10-1.orthodb.org/?query=18809at4751	Ribosome control protein 1
20600at4751	Fragmented	contig_70	334934	340293	+	1005.1	598	https://v10-1.orthodb.org/?query=20600at4751	Pyridoxal phosphate-dependent transferase
20952at4751	Complete	contig_6	1065822	1069780	+	1296.9	927	https://v10-1.orthodb.org/?query=20952at4751	Niemann-Pick C1, N-terminal
21651at4751	Complete	contig_6	2109586	2104182	-	923.9	665	https://v10-1.orthodb.org/?query=21651at4751	DNA topoisomerase, type IIA
21689at4751	Complete	contig_13	731458	734792	+	715.9	682	https://v10-1.orthodb.org/?query=21689at4751	WD40 repeat
22982at4751	Complete	contig_5	1399399	1396114	-	1302.3	833	https://v10-1.orthodb.org/?query=22982at4751	Aminoacyl-tRNA synthetase, class Ia
22992at4751	Complete	contig_4	1131824	1135928	+	286.6	444	https://v10-1.orthodb.org/?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Fragmented	contig_12	1580116	1585787	+	1002.3	650	https://v10-1.orthodb.org/?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	contig_93	210121	205613	-	1037.7	1007	https://v10-1.orthodb.org/?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	contig_90	393549	398142	+	797.3	862	https://v10-1.orthodb.org/?query=24198at4751	Armadillo-type fold
25020at4751	Complete	contig_93	108290	104590	-	993.8	728	https://v10-1.orthodb.org/?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	contig_86	2468095	2473734	+	343.8	552	https://v10-1.orthodb.org/?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	contig_6	601640	605472	+	1475.1	942	https://v10-1.orthodb.org/?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	contig_1	1261638	1255088	-	520.2	564	https://v10-1.orthodb.org/?query=27008at4751	WD40/YVTN repeat-like-containing domain superfamily
29512at4751	Complete	contig_37	660210	663530	+	673.7	596	https://v10-1.orthodb.org/?query=29512at4751	Exportin-2, central domain
31256at4751	Complete	contig_90	2560756	2563788	+	399.8	595	https://v10-1.orthodb.org/?query=31256at4751	Armadillo-type fold
31324at4751	Complete	contig_93	91008	94301	+	811.6	798	https://v10-1.orthodb.org/?query=31324at4751	Nrap protein domain 1
32164at4751	Complete	contig_5	2001011	2003963	+	861.2	667	https://v10-1.orthodb.org/?query=32164at4751	Armadillo-type fold
33984at4751	Complete	contig_13	730657	723942	-	760.0	547	https://v10-1.orthodb.org/?query=33984at4751	Histidine phosphatase superfamily
34223at4751	Complete	contig_85	21784	17562	-	384.2	655	https://v10-1.orthodb.org/?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	contig_91	542506	535008	-	820.9	722	https://v10-1.orthodb.org/?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	contig_85	383083	378674	-	808.4	704	https://v10-1.orthodb.org/?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	contig_86	765481	770684	+	478.3	701	https://v10-1.orthodb.org/?query=36610at4751	Tubulin-folding cofactor D
37028at4751	Complete	contig_85	439326	436887	-	901.3	599	https://v10-1.orthodb.org/?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	contig_2	822487	825016	+	886.7	511	https://v10-1.orthodb.org/?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	contig_92	322607	325857	+	345.5	503	https://v10-1.orthodb.org/?query=37642at4751	Nucleic acid-binding, OB-fold
38031at4751	Complete	contig_37	981881	984828	+	406.0	479	https://v10-1.orthodb.org/?query=38031at4751	MIF4G-like, type 1
38184at4751	Complete	contig_91	7281	4394	-	653.9	584	https://v10-1.orthodb.org/?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	contig_1	1189590	1192735	+	401.4	441	https://v10-1.orthodb.org/?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	contig_10	519948	516436	-	317.6	493	https://v10-1.orthodb.org/?query=43842at4751	MMS19, C-terminal
46090at4751	Complete	contig_91	701280	697893	-	543.6	523	https://v10-1.orthodb.org/?query=46090at4751	Exportin-1/Importin-beta-like
46098at4751	Complete	contig_86	290986	287432	-	1045.6	732	https://v10-1.orthodb.org/?query=46098at4751	Ribosomal protein S5 domain 2-type fold
46119at4751	Complete	contig_12	682259	677366	-	1163.3	1051	https://v10-1.orthodb.org/?query=46119at4751	WD40/YVTN repeat-like-containing domain superfamily
46666at4751	Complete	contig_1	1496096	1501603	+	888.8	863	https://v10-1.orthodb.org/?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Complete	contig_37	727622	724377	-	955.9	747	https://v10-1.orthodb.org/?query=46752at4751	Alkaline phosphatase-like, alpha/beta/alpha
46918at4751	Fragmented	contig_91	599239	591684	-	294.1	271	https://v10-1.orthodb.org/?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	contig_70	366474	369153	+	816.5	636	https://v10-1.orthodb.org/?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	contig_6	1804287	1807859	+	1210.3	835	https://v10-1.orthodb.org/?query=48708at4751	Aminoacyl-tRNA synthetase, class Ia
49476at4751	Complete	contig_5	913193	910325	-	681.3	477	https://v10-1.orthodb.org/?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	contig_6	1868968	1865683	-	749.8	590	https://v10-1.orthodb.org/?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Complete	contig_12	1614194	1611772	-	576.9	480	https://v10-1.orthodb.org/?query=50786at4751	Eukaryotic translation initiation factor 3 subunit B
50835at4751	Complete	contig_10	943076	939751	-	911.4	661	https://v10-1.orthodb.org/?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	contig_5	2274598	2282176	+	547.8	432	https://v10-1.orthodb.org/?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Complete	contig_86	840153	835202	-	842.4	636	https://v10-1.orthodb.org/?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Complete	contig_1	589464	584783	-	965.0	792	https://v10-1.orthodb.org/?query=53270at4751	UDP-glucose:Glycoprotein Glucosyltransferase
54252at4751	Complete	contig_85	716243	719923	+	913.8	696	https://v10-1.orthodb.org/?query=54252at4751	26S Proteasome non-ATPase regulatory subunit 1
54919at4751	Complete	contig_86	1372850	1375076	+	469.4	366	https://v10-1.orthodb.org/?query=54919at4751	Cysteine-tRNA ligase
56395at4751	Complete	contig_4	1106988	1112805	+	443.6	428	https://v10-1.orthodb.org/?query=56395at4751	Spindle pole body component
56432at4751	Complete	contig_86	1810884	1817811	+	432.5	534	https://v10-1.orthodb.org/?query=56432at4751	Sec8 exocyst complex component specific domain
